open_signal,open_exec,close_signal,close_exec,side,month,reason,qty,z_open,z_close,S_entry,S_exit,hold_days,rolls,pnl,mae,cost,margin,net,ret,variant,year
20260319,20260320,20260507,20260508,1,202605,take_profit,0.4124029562111358,-2.5354438881304833,1.18397493138862,-4600.0,-2350.0,31,1,-1461.9684797684758,-2627.006831064936,95.64758662665821,9196.420962325843,-1557.616066395134,-0.16937198425083855,B 波动定手数,2026
20260608,20260609,20260615,20260616,1,202609,take_profit,0.4680244071433345,-3.3049296166153517,0.5375834115897277,-5320.0,-3785.0,5,0,718.4174649650187,-1165.3807737869029,53.22162947050785,9948.982032408718,665.1958354945108,0.06686069321742079,B 波动定手数,2026
20260803,20260804,20260821,20260824,-1,202701,take_profit,0.7217489719721736,2.5370328354014045,-0.08112999671462633,-2405.0,-2290.0,14,0,-83.00113177679992,-1483.1941374028168,80.24874207218409,12946.877409031245,-163.249873848984,-0.012609208281767398,B 波动定手数,2026
20260901,20260902,20260903,20260904,1,202701,take_profit,0.7304640140258931,-2.734883079913801,0.18832331387059098,-3285.0,-2165.0,2,0,818.1196957090003,-197.22528378699113,83.25317507057312,14732.728698888239,734.8665206384272,0.04987986513957063,B 波动定手数,2026
20260907,20260908,20260911,20260911,1,202701,end,0.7387453890244229,-2.5019450510474095,-0.8634052129970995,-3430.0,-3080.0,3,0,258.560886158548,-188.3800742012278,84.98748578953668,15263.661729867015,173.57340036901132,0.011371674991288187,B 波动定手数,2026
20190214,20190215,20190218,20190219,1,201905,take_profit,0.909365623704121,-2.6810668457797258,0.43421387492816865,8660.0,12695.0,2,0,3669.2902916461285,0.0,138.48319868859392,17845.027253320186,3530.8070929575347,0.19785943965429387,C 波动定手数+金额止损,2019
20190327,20190328,20190418,20190419,-1,201905,money_stop,1.0674899531001494,2.6030355837957417,1.8732758152827036,11740.0,12200.0,15,1,-5396.161712921255,-5524.260507293273,323.1244050986263,20274.196185259276,-5719.286118019881,-0.28209681240917417,C 波动定手数+金额止损,2019
20190626,20190627,20190628,20190701,-1,201909,stop_loss,1.323670462093967,2.9759390804325836,3.8765867573862236,10885.0,12845.0,2,0,-2594.394105704175,-2700.2877426716927,198.88810528192903,24325.621550085667,-2793.2822109861045,-0.11482881147496384,C 波动定手数+金额止损,2019
20190923,20190924,20191014,20191015,1,202001,take_profit,1.1288464275830667,-2.7995167549570446,1.1077207639483988,8140.0,10140.0,10,0,2257.692855166133,-2805.183372543921,169.08087561624689,20422.863798547325,2088.611979549886,0.10226832045457057,C 波动定手数+金额止损,2019
20191111,20191112,20191209,20191210,-1,202001,take_profit,1.1129283708185735,2.502192664289941,-0.9092499093239398,16385.0,10965.0,20,1,-840.2609199680229,-4184.610674277837,327.44189001294285,17913.24988534743,-1167.7028099809659,-0.06518654166356024,C 波动定手数+金额止损,2019
20191217,20191218,20191231,20191231,1,202005,end,1.1657547177400494,-2.7044621804437443,-1.355888043475887,9310.0,8940.0,9,0,-431.32924556381806,-1043.350472377344,172.38831039524524,19404.220427726672,-603.7175559590632,-0.031112693148775603,C 波动定手数+金额止损,2019
20200114,20200115,20200303,20200304,1,202005,take_profit,0.9810329043115212,-2.9339138210166658,0.1037818912435095,4230.0,8720.0,29,0,4404.837740358731,-588.6197425869128,144.98783396110403,17251.26741573724,4259.849906397627,0.2469296779036441,C 波动定手数+金额止损,2020
20200413,20200414,20200416,20200417,-1,202009,stop_loss,0.9034213333877767,4.028684450071428,3.785790865754083,12460.0,12850.0,3,0,-352.33432002123334,-469.7790933616443,130.16765597851105,13318.237296802605,-482.5019759997444,-0.03622866639533309,C 波动定手数+金额止损,2020
20200423,20200424,20200424,20200427,-1,202009,stop_loss,0.9825702981041093,3.1290881590376878,3.8315803093109873,13105.0,14265.0,1,0,-1139.7815458007667,-1164.3458032533695,140.81902741338664,13802.951033706906,-1280.6005732141534,-0.0927773032076197,C 波动定手数+金额止损,2020
20200506,20200507,20200529,20200601,-1,202009,money_stop,0.9206867249792776,3.058254390960823,2.7652439777586992,14290.0,17955.0,17,0,-3374.316847049053,-3374.316847049053,132.53699715102942,13430.241394617717,-3506.8538442000827,-0.2611162183283976,C 波动定手数+金额止损,2020
20200601,20200602,20200804,20200805,-1,202009,money_stop,0.8905455772674895,3.1086082909870805,2.0601918483973374,19345.0,16040.0,44,1,-3669.0477783420565,-3669.0477783420565,258.8156989389414,13044.533506698732,-3927.863477280998,-0.30111183932058055,C 波动定手数+金额止损,2020
20201211,20201214,20201215,20201216,1,202105,stop_loss,0.7816872279653044,-2.716932233776586,-5.0052014644019,8705.0,4925.0,2,0,-2954.777721708851,-2954.777721708851,118.26693252946667,14721.828239161763,-3073.044654238318,-0.20874069472320458,C 波动定手数+金额止损,2020
20201224,20201225,20201231,20201231,1,202105,end,0.7751530191981217,-3.0872839386344486,-1.9673514259120533,5625.0,6975.0,4,0,1046.4565759174643,-383.70074450307027,116.78455387238901,14516.910712938583,929.6720220450753,0.06404062409893314,C 波动定手数+金额止损,2020
20210114,20210115,20210127,20210128,-1,202105,money_stop,0.7663893414666963,2.5661781515636792,2.4264633181781696,8110.0,12715.0,9,0,-3529.2229174541367,-3529.2229174541367,114.55413084238077,13515.889148238362,-3643.7770482965175,-0.2695921080983001,C 波动定手数+金额止损,2021
20210218,20210219,20210225,20210226,-1,202105,take_profit,0.8319843432198257,3.2702501144353056,0.9681616401227569,16010.0,15385.0,5,0,519.9902145123909,-2158.999370655448,126.85057284986878,15721.009752613183,393.13964166252214,0.02500727674933053,C 波动定手数+金额止损,2021
20210409,20210412,20210428,20210429,1,202109,take_profit,0.8006927205775444,-2.6260826169688047,-0.838728341988123,12360.0,10855.0,13,0,-1205.0425444692048,-2129.842636736268,121.24689694525611,15102.826234077758,-1326.289441414461,-0.0878173012692051,C 波动定手数+金额止损,2021
20210512,20210513,20210513,20210514,1,202109,stop_loss,0.7892983516277943,-3.3847440541599063,-4.122789375140669,4940.0,2755.0,1,0,-1724.6168983067305,-1732.5098818230085,121.28003286854454,15900.415293541915,-1845.896931175275,-0.11609111442045174,C 波动定手数+金额止损,2021
20210621,20210622,20210622,20210623,-1,202109,take_profit,0.8466062692288547,2.8813137260748154,0.8313124914161633,7725.0,5815.0,1,0,1617.0179742271125,0.0,127.94929868109527,15640.204217733863,1489.0686755460172,0.0952077514344484,C 波动定手数+金额止损,2021
20210628,20210629,20210630,20210701,-1,202109,take_profit,0.8207328511180435,2.6655740764726397,0.791076596755885,7925.0,6255.0,2,0,1370.6238613671328,0.0,124.8646545033969,15803.867634558821,1245.759206863736,0.0788262237871187,C 波动定手数+金额止损,2021
